product_id,product_name,category,unit,current_stock,reorder_point,reorder_qty,unit_cost,supplier,lead_time_days,last_restock_date,stockout_flag
P01,Sourdough Loaf,Bread,days,38,11,30,1.2,Cacao Traders Ltd.,2,2025-11-18,0
P02,Baguette,Bread,days,41,12,32,0.85,Cacao Traders Ltd.,1,2025-11-18,0
P03,Whole Wheat Loaf,Bread,days,44,13,35,1.3,Golden Valley Dairy Co.,2,2025-11-18,0
P04,Croissant,Pastry,days,37,11,29,0.7,Cacao Traders Ltd.,1,2025-11-18,0
P05,Pain au Chocolat,Pastry,days,73,21,58,0.9,Karnataka Wheat Mills,2,2025-11-18,0
P06,Cinnamon Roll,Pastry,days,42,12,33,0.95,Cacao Traders Ltd.,1,2025-11-18,0
P07,Blueberry Muffin,Pastry,days,64,19,51,0.65,Cacao Traders Ltd.,1,2025-11-18,0
P08,Chocolate Chip Cookie,Cookie,days,75,22,60,0.4,Cacao Traders Ltd.,1,2025-11-18,0
P09,Oatmeal Raisin Cookie,Cookie,days,22,6,17,0.4,Golden Valley Dairy Co.,1,2025-11-18,0
P10,Birthday Cake (whole),Cake,days,17,5,13,9.5,Cacao Traders Ltd.,2,2025-11-18,0
P11,Cupcake (single),Cake,days,67,20,53,0.8,Cacao Traders Ltd.,2,2025-11-18,0
P12,Bagel - Plain,Bread,days,44,13,35,0.55,Golden Valley Dairy Co.,1,2025-11-18,0
P13,Bagel - Everything,Bread,days,49,14,39,0.6,Golden Valley Dairy Co.,2,2025-11-18,0
P14,Rye Loaf,Bread,days,41,12,32,1.35,Golden Valley Dairy Co.,2,2025-11-18,0
P15,Scone - Blueberry,Pastry,days,19,5,15,0.75,Golden Valley Dairy Co.,1,2025-11-18,0
P16,Flour (25kg bag),Ingredient,unit,9,2,7,18.0,Karnataka Wheat Mills,2,2025-03-02,1
P17,Butter (block),Ingredient,unit,15,4,12,5.2,Cacao Traders Ltd.,8,2025-11-18,0
P18,Cocoa Powder (5kg),Ingredient,unit,34,10,27,23.0,Cacao Traders Ltd.,5,2025-11-18,0
