sku_id,product_name,category,warehouse_id,warehouse_name,current_stock,safety_stock,reorder_point,unit_cost,supplier_id,lead_time_days,last_restock_date,stockout_flag,obsolete_flag
SKU00001,Fastener - Type 1,Fasteners,W1,Bengaluru North DC,242,49,63,6.92,SUP004,18,2023-06-10,0,0
SKU00001,Fastener - Type 1,Fasteners,W2,Chennai Hub,113,44,57,6.92,SUP004,30,2023-06-10,0,0
SKU00001,Fastener - Type 1,Fasteners,W3,Pune Regional,398,98,127,6.92,SUP004,28,2023-06-10,0,0
SKU00001,Fastener - Type 1,Fasteners,W4,Hyderabad DC,329,40,52,6.92,SUP004,27,2023-06-10,0,0
SKU00002,Fastener - Type 2,Fasteners,W2,Chennai Hub,66,65,84,22.21,SUP004,5,2023-06-10,0,0
SKU00002,Fastener - Type 2,Fasteners,W4,Hyderabad DC,476,29,37,22.21,SUP004,45,2023-06-10,0,0
SKU00003,Fastener - Type 3,Fasteners,W1,Bengaluru North DC,409,98,127,21.09,SUP004,23,2023-06-10,0,0
SKU00003,Fastener - Type 3,Fasteners,W3,Pune Regional,37,80,104,21.09,SUP004,36,2023-06-10,1,0
SKU00003,Fastener - Type 3,Fasteners,W4,Hyderabad DC,168,89,115,21.09,SUP004,13,2023-06-10,0,0
SKU00004,Fastener - Type 4,Fasteners,W1,Bengaluru North DC,409,93,120,12.18,SUP004,23,2023-06-10,0,0
SKU00004,Fastener - Type 4,Fasteners,W2,Chennai Hub,43,94,122,12.18,SUP004,11,2023-06-10,1,0
SKU00004,Fastener - Type 4,Fasteners,W3,Pune Regional,172,63,81,12.18,SUP004,43,2023-06-10,0,0
SKU00004,Fastener - Type 4,Fasteners,W4,Hyderabad DC,49,30,39,12.18,SUP004,49,2023-06-10,0,0
SKU00005,Fastener - Type 5,Fasteners,W1,Bengaluru North DC,251,74,96,41.97,SUP013,5,2023-06-10,0,0
SKU00005,Fastener - Type 5,Fasteners,W2,Chennai Hub,278,36,46,41.97,SUP013,28,2023-06-10,0,1
SKU00005,Fastener - Type 5,Fasteners,W3,Pune Regional,151,90,117,41.97,SUP013,13,2023-06-10,0,0
SKU00005,Fastener - Type 5,Fasteners,W4,Hyderabad DC,217,67,87,41.97,SUP013,23,2023-06-10,0,0
SKU00006,Fastener - Type 6,Fasteners,W1,Bengaluru North DC,372,44,57,11.09,SUP013,48,2023-06-10,0,0
SKU00006,Fastener - Type 6,Fasteners,W2,Chennai Hub,46,37,48,11.09,SUP013,37,2023-06-10,0,0
SKU00006,Fastener - Type 6,Fasteners,W3,Pune Regional,134,89,115,11.09,SUP013,13,2023-06-10,0,0
SKU00006,Fastener - Type 6,Fasteners,W4,Hyderabad DC,437,20,26,11.09,SUP013,35,2023-06-10,0,0
SKU00007,Fastener - Type 7,Fasteners,W1,Bengaluru North DC,285,47,61,57.01,SUP004,8,2023-06-10,0,0
SKU00007,Fastener - Type 7,Fasteners,W2,Chennai Hub,176,68,88,57.01,SUP004,37,2023-06-10,0,0
SKU00007,Fastener - Type 7,Fasteners,W4,Hyderabad DC,304,62,80,57.01,SUP004,36,2023-06-10,0,0
SKU00008,Fastener - Type 8,Fasteners,W1,Bengaluru North DC,487,72,93,43.82,SUP004,43,2023-06-10,0,0
SKU00008,Fastener - Type 8,Fasteners,W2,Chennai Hub,3,80,104,43.82,SUP004,10,2023-06-10,1,0
SKU00008,Fastener - Type 8,Fasteners,W3,Pune Regional,300,91,118,43.82,SUP004,8,2023-06-10,0,0
SKU00008,Fastener - Type 8,Fasteners,W4,Hyderabad DC,50,72,93,43.82,SUP004,18,2023-06-10,1,0
SKU00009,Fastener - Type 9,Fasteners,W1,Bengaluru North DC,160,87,113,27.59,SUP004,41,2023-06-10,0,0
SKU00009,Fastener - Type 9,Fasteners,W2,Chennai Hub,62,27,35,27.59,SUP004,33,2023-06-10,0,0
SKU00009,Fastener - Type 9,Fasteners,W3,Pune Regional,226,33,42,27.59,SUP004,37,2023-06-10,0,0
SKU00009,Fastener - Type 9,Fasteners,W4,Hyderabad DC,211,74,96,27.59,SUP004,23,2023-06-10,0,0
SKU00010,Fastener - Type 10,Fasteners,W1,Bengaluru North DC,393,79,102,21.36,SUP004,10,2023-06-10,0,0
SKU00010,Fastener - Type 10,Fasteners,W3,Pune Regional,323,42,54,21.36,SUP004,16,2023-06-10,0,0
SKU00010,Fastener - Type 10,Fasteners,W4,Hyderabad DC,195,56,72,21.36,SUP004,37,2023-06-10,0,0
SKU00011,Fastener - Type 11,Fasteners,W1,Bengaluru North DC,249,24,31,38.29,SUP013,5,2023-06-10,0,1
SKU00011,Fastener - Type 11,Fasteners,W2,Chennai Hub,381,89,115,38.29,SUP013,43,2023-06-10,0,0
SKU00011,Fastener - Type 11,Fasteners,W3,Pune Regional,462,43,55,38.29,SUP013,25,2023-06-10,0,0
SKU00011,Fastener - Type 11,Fasteners,W4,Hyderabad DC,174,26,33,38.29,SUP013,11,2023-06-10,0,0
SKU00012,Fastener - Type 12,Fasteners,W1,Bengaluru North DC,489,84,109,21.59,SUP004,31,2023-06-10,0,0
SKU00012,Fastener - Type 12,Fasteners,W2,Chennai Hub,479,66,85,21.59,SUP004,33,2023-06-10,0,0
SKU00012,Fastener - Type 12,Fasteners,W3,Pune Regional,318,75,97,21.59,SUP004,5,2023-06-10,0,0
SKU00012,Fastener - Type 12,Fasteners,W4,Hyderabad DC,366,87,113,21.59,SUP004,20,2023-06-10,0,0
SKU00013,Electrical Component - Type 1,Electrical Components,W1,Bengaluru North DC,433,76,98,283.87,SUP008,34,2023-06-10,0,0
SKU00013,Electrical Component - Type 1,Electrical Components,W2,Chennai Hub,319,89,115,283.87,SUP008,35,2023-06-10,0,0
SKU00013,Electrical Component - Type 1,Electrical Components,W3,Pune Regional,126,36,46,283.87,SUP008,22,2023-06-10,0,0
SKU00013,Electrical Component - Type 1,Electrical Components,W4,Hyderabad DC,229,22,28,283.87,SUP008,19,2023-06-10,0,0
SKU00014,Electrical Component - Type 2,Electrical Components,W1,Bengaluru North DC,297,73,94,438.65,SUP008,16,2023-06-10,0,0
SKU00014,Electrical Component - Type 2,Electrical Components,W3,Pune Regional,41,20,26,438.65,SUP008,49,2023-06-10,0,0
SKU00014,Electrical Component - Type 2,Electrical Components,W4,Hyderabad DC,257,94,122,438.65,SUP008,24,2023-06-10,0,0
SKU00015,Electrical Component - Type 3,Electrical Components,W1,Bengaluru North DC,58,51,66,460.2,SUP008,32,2023-06-10,0,0
SKU00015,Electrical Component - Type 3,Electrical Components,W2,Chennai Hub,117,41,53,460.2,SUP008,7,2023-06-10,0,0
SKU00015,Electrical Component - Type 3,Electrical Components,W3,Pune Regional,79,60,78,460.2,SUP008,43,2023-06-10,0,0
SKU00015,Electrical Component - Type 3,Electrical Components,W4,Hyderabad DC,355,62,80,460.2,SUP008,25,2023-06-10,0,0
SKU00016,Electrical Component - Type 4,Electrical Components,W1,Bengaluru North DC,298,83,107,507.08,SUP008,11,2023-06-10,0,0
