po_id,po_date,supplier_id,supplier_name,warehouse_id,product_id,product_name,quantity_ordered,quantity_received,expected_delivery_date,actual_delivery_date,status,unit_cost
PO900000,2023-01-01,SUP013,Apex Industrial Components,W2,SKU00008,Fastener - Type 8,1081,1081,2023-02-08,2023-02-08,received,43.82
PO900001,2023-01-01,SUP001,Ashoka Steel Works,W1,SKU00129,Bearing - Type 3,722,722,2023-01-23,2023-01-23,received,1034.83
PO900002,2023-01-04,SUP005,SafeGuard PPE Manufacturing,W3,SKU00072,Safety Equipment - Type 10,667,667,2023-02-01,2023-02-01,received,1273.06
PO900003,2023-01-04,SUP012,Coastal Metal Traders,W1,SKU00080,Plumbing Supplie - Type 4,853,853,2023-02-13,2023-02-13,received,507.75
PO900004,2023-01-07,SUP002,Bharat Fastener Co.,W1,SKU00116,Adhesives & Sealant - Type 8,1530,1530,2023-02-13,2023-02-13,received,356.93
PO900005,2023-01-07,SUP003,Precision Bearings Ltd,W3,SKU00137,Bearing - Type 11,1004,1004,2023-02-14,2023-02-14,received,645.58
PO900006,2023-01-10,SUP006,Deccan Plumbing Supplies,W2,SKU00133,Bearing - Type 7,1658,1658,2023-01-26,2023-01-28,received,81.99
PO900007,2023-01-10,SUP014,Vishal Steel Traders,W4,SKU00114,Adhesives & Sealant - Type 6,1498,1498,2023-02-14,2023-02-14,received,233.76
PO900008,2023-01-13,SUP015,Krishna Tools & Dies,W1,SKU00135,Bearing - Type 9,424,424,2023-01-20,2023-01-20,received,1883.55
PO900009,2023-01-16,SUP009,National Pipe & Fittings,W3,SKU00099,Pipes & Fitting - Type 6,368,368,2023-02-10,2023-02-10,received,560.49
PO900010,2023-01-16,SUP001,Ashoka Steel Works,W4,SKU00138,Bearing - Type 12,1446,1446,2023-02-07,2023-02-07,received,989.79
PO900011,2023-01-16,SUP014,Vishal Steel Traders,W3,SKU00120,Adhesives & Sealant - Type 12,1104,1104,2023-02-20,2023-02-20,received,310.21
PO900012,2023-01-19,SUP007,Titan Tools India,W2,SKU00123,Adhesives & Sealant - Type 15,1130,1130,2023-02-02,2023-02-02,received,459.67
PO900013,2023-01-22,SUP013,Apex Industrial Components,W2,SKU00004,Fastener - Type 4,1197,1197,2023-03-01,2023-03-01,received,12.18
PO900014,2023-01-25,SUP003,Precision Bearings Ltd,W4,SKU00139,Bearing - Type 13,1210,1210,2023-03-04,2023-03-04,received,2355.14
PO900015,2023-01-25,SUP011,Everest Hardware,W2,SKU00026,Hand Tool - Type 1,219,219,2023-02-15,2023-02-15,received,523.51
PO900016,2023-01-28,SUP011,Everest Hardware,W2,SKU00029,Hand Tool - Type 4,1294,1294,2023-02-18,2023-02-18,received,1396.1
PO900017,2023-01-28,SUP012,Coastal Metal Traders,W4,SKU00078,Plumbing Supplie - Type 2,898,898,2023-03-09,2023-03-09,received,51.77
PO900018,2023-01-28,SUP003,Precision Bearings Ltd,W3,SKU00139,Bearing - Type 13,1498,1498,2023-03-07,2023-03-07,received,2355.14
PO900019,2023-01-31,SUP011,Everest Hardware,W3,SKU00037,Hand Tool - Type 12,1041,0,2023-02-21,,cancelled,1171.0
PO900020,2023-02-03,SUP006,Deccan Plumbing Supplies,W4,SKU00139,Bearing - Type 13,1751,1751,2023-02-19,2023-02-19,received,2355.14
PO900021,2023-02-03,SUP004,Voltek Electricals,W4,SKU00007,Fastener - Type 7,1259,1259,2023-02-23,2023-02-23,received,57.01
PO900022,2023-02-03,SUP011,Everest Hardware,W2,SKU00026,Hand Tool - Type 1,405,405,2023-02-24,2023-02-24,received,523.51
PO900023,2023-02-06,SUP013,Apex Industrial Components,W2,SKU00005,Fastener - Type 5,608,608,2023-03-16,2023-03-16,received,41.97
PO900024,2023-02-09,SUP013,Apex Industrial Components,W3,SKU00003,Fastener - Type 3,1127,1127,2023-03-19,2023-03-19,received,21.09
PO900025,2023-02-09,SUP011,Everest Hardware,W2,SKU00032,Hand Tool - Type 7,1401,1401,2023-03-02,2023-03-02,received,1423.8
PO900026,2023-02-12,SUP015,Krishna Tools & Dies,W3,SKU00127,Bearing - Type 1,301,256,2023-02-19,2023-02-19,received,407.58
PO900027,2023-02-15,SUP009,National Pipe & Fittings,W4,SKU00097,Pipes & Fitting - Type 4,1737,1737,2023-03-12,2023-03-13,received,616.09
PO900028,2023-02-18,SUP010,LumaTech Lighting,W4,SKU00040,Hand Tool - Type 15,1295,1295,2023-03-19,2023-03-19,received,580.89
PO900029,2023-02-21,SUP004,Voltek Electricals,W4,SKU00009,Fastener - Type 9,913,913,2023-03-13,2023-03-13,received,27.59
PO900030,2023-02-21,SUP007,Titan Tools India,W3,SKU00113,Adhesives & Sealant - Type 5,206,206,2023-03-07,2023-03-07,received,554.18
