order_id,order_date,customer_id,warehouse_id,warehouse_name,product_id,product_name,category,quantity,unit_price,discount_pct,line_total,order_status,promised_ship_date,actual_ship_date,delay_days
8000000,2023-01-01,ACC0117,W1,Bengaluru North DC,SKU00118,Adhesives & Sealant - Type 10,Adhesives & Sealants,4,731.43,0,2925.72,fulfilled,2023-01-06,2023-01-06,0
8000000,2023-01-01,ACC0117,W1,Bengaluru North DC,SKU00019,Electrical Component - Type 7,Electrical Components,13,501.08,0,6514.04,fulfilled,2023-01-06,2023-01-06,0
8000001,2023-01-01,ACC0211,W3,Pune Regional,SKU00001,Fastener - Type 1,Fasteners,47,9.81,6,433.41,fulfilled,2023-01-03,2023-01-03,0
8000001,2023-01-01,ACC0211,W3,Pune Regional,SKU00105,Pipes & Fitting - Type 12,Pipes & Fittings,17,1859.26,0,31607.42,fulfilled,2023-01-03,2023-01-03,0
8000002,2023-01-01,ACC0141,W4,Hyderabad DC,SKU00090,Plumbing Supplie - Type 14,Plumbing Supplies,14,1166.16,0,16326.24,fulfilled,2023-01-04,2023-01-04,0
8000003,2023-01-01,ACC0010,W4,Hyderabad DC,SKU00108,Pipes & Fitting - Type 15,Pipes & Fittings,16,1735.34,0,27765.44,fulfilled,2023-01-10,2023-01-10,0
8000003,2023-01-01,ACC0010,W4,Hyderabad DC,SKU00100,Pipes & Fitting - Type 7,Pipes & Fittings,21,781.33,6,15423.45,fulfilled,2023-01-10,2023-01-10,0
8000004,2023-01-02,ACC0210,W1,Bengaluru North DC,SKU00043,Power Tool - Type 1,Power Tools,1,7378.01,0,7378.01,fulfilled,2023-01-04,2023-01-04,0
8000004,2023-01-02,ACC0210,W1,Bengaluru North DC,SKU00096,Pipes & Fitting - Type 3,Pipes & Fittings,17,1453.74,0,24713.58,fulfilled,2023-01-04,2023-01-04,0
8000004,2023-01-02,ACC0210,W1,Bengaluru North DC,SKU00121,Adhesives & Sealant - Type 13,Adhesives & Sealants,17,390.68,0,6641.56,fulfilled,2023-01-04,2023-01-04,0
8000004,2023-01-02,ACC0210,W1,Bengaluru North DC,SKU00139,Bearing - Type 13,Bearings,167,3242.38,12,476500.16,fulfilled,2023-01-04,2023-01-04,0
8000005,2023-01-02,ACC0141,W2,Chennai Hub,SKU00119,Adhesives & Sealant - Type 11,Adhesives & Sealants,20,461.84,0,9236.8,fulfilled,2023-01-11,2023-01-11,0
8000005,2023-01-02,ACC0141,W2,Chennai Hub,SKU00037,Hand Tool - Type 12,Hand Tools,21,1585.68,6,31301.32,fulfilled,2023-01-11,2023-01-11,0
8000005,2023-01-02,ACC0141,W2,Chennai Hub,SKU00104,Pipes & Fitting - Type 11,Pipes & Fittings,7,150.39,0,1052.73,fulfilled,2023-01-11,2023-01-11,0
8000005,2023-01-02,ACC0141,W2,Chennai Hub,SKU00087,Plumbing Supplie - Type 11,Plumbing Supplies,24,1169.45,6,26382.79,fulfilled,2023-01-11,2023-01-11,0
8000005,2023-01-02,ACC0141,W2,Chennai Hub,SKU00033,Hand Tool - Type 8,Hand Tools,17,530.34,0,9015.78,fulfilled,2023-01-11,2023-01-11,0
8000006,2023-01-02,ACC0105,W2,Chennai Hub,SKU00006,Fastener - Type 6,Fasteners,151,19.01,12,2526.05,fulfilled,2023-01-05,2023-01-05,0
8000006,2023-01-02,ACC0105,W2,Chennai Hub,SKU00021,Electrical Component - Type 9,Electrical Components,5,965.87,0,4829.35,fulfilled,2023-01-05,2023-01-05,0
