sku_id,product_id,product_name,category,color,store_id,store_name,current_stock,reorder_point,unit_cost,supplier,lead_time_days,last_restock_date,stockout_flag
PR0001-Red-S1,PR0001,Top Style 1,Tops,Red,S1,Koramangala Flagship,1,12,441.28,Coastal Textiles Pvt Ltd,12,2025-11-20,1
PR0001-Red-S2,PR0001,Top Style 1,Tops,Red,S2,Indiranagar Store,3,11,441.28,Coastal Textiles Pvt Ltd,20,2025-11-20,1
PR0001-Grey-S1,PR0001,Top Style 1,Tops,Grey,S1,Koramangala Flagship,57,14,441.28,Metro Garment Works,24,2025-11-20,0
PR0001-Grey-S2,PR0001,Top Style 1,Tops,Grey,S2,Indiranagar Store,35,9,441.28,Northline Apparel Co.,31,2025-11-20,0
PR0001-Grey-S3,PR0001,Top Style 1,Tops,Grey,S3,Downtown Mall Store,45,12,441.28,Metro Garment Works,16,2025-11-20,0
PR0001-Mustard-S2,PR0001,Top Style 1,Tops,Mustard,S2,Indiranagar Store,47,8,441.28,Coastal Textiles Pvt Ltd,29,2025-11-20,0
PR0001-Mustard-S3,PR0001,Top Style 1,Tops,Mustard,S3,Downtown Mall Store,22,8,441.28,Metro Garment Works,17,2025-11-20,0
PR0002-Black-S1,PR0002,Top Style 2,Tops,Black,S1,Koramangala Flagship,45,8,645.38,Coastal Textiles Pvt Ltd,12,2025-11-20,0
PR0002-Black-S2,PR0002,Top Style 2,Tops,Black,S2,Indiranagar Store,9,10,645.38,Metro Garment Works,16,2025-11-20,1
PR0002-Beige-S1,PR0002,Top Style 2,Tops,Beige,S1,Koramangala Flagship,39,7,645.38,Northline Apparel Co.,26,2025-11-20,0
PR0002-Beige-S3,PR0002,Top Style 2,Tops,Beige,S3,Downtown Mall Store,14,13,645.38,Coastal Textiles Pvt Ltd,32,2025-11-20,0
PR0002-Mustard-S1,PR0002,Top Style 2,Tops,Mustard,S1,Koramangala Flagship,16,8,645.38,Metro Garment Works,22,2025-11-20,0
PR0002-Mustard-S2,PR0002,Top Style 2,Tops,Mustard,S2,Indiranagar Store,54,5,645.38,Coastal Textiles Pvt Ltd,19,2025-11-20,0
PR0002-Mustard-S3,PR0002,Top Style 2,Tops,Mustard,S3,Downtown Mall Store,50,6,645.38,Northline Apparel Co.,18,2025-11-20,0
PR0003-Beige-S1,PR0003,Top Style 3,Tops,Beige,S1,Koramangala Flagship,52,6,466.9,Coastal Textiles Pvt Ltd,28,2025-11-20,0
PR0003-Beige-S2,PR0003,Top Style 3,Tops,Beige,S2,Indiranagar Store,8,11,466.9,Everstyle Manufacturing,34,2025-11-20,1
PR0003-Beige-S3,PR0003,Top Style 3,Tops,Beige,S3,Downtown Mall Store,17,12,466.9,Everstyle Manufacturing,14,2025-11-20,0
PR0003-White-S1,PR0003,Top Style 3,Tops,White,S1,Koramangala Flagship,41,14,466.9,Everstyle Manufacturing,31,2025-11-20,0
PR0003-White-S2,PR0003,Top Style 3,Tops,White,S2,Indiranagar Store,53,10,466.9,Everstyle Manufacturing,24,2025-11-20,0
PR0003-White-S3,PR0003,Top Style 3,Tops,White,S3,Downtown Mall Store,33,14,466.9,Northline Apparel Co.,19,2025-11-20,0
PR0003-Grey-S1,PR0003,Top Style 3,Tops,Grey,S1,Koramangala Flagship,40,11,466.9,Metro Garment Works,24,2025-11-20,0
PR0003-Grey-S2,PR0003,Top Style 3,Tops,Grey,S2,Indiranagar Store,23,8,466.9,Metro Garment Works,15,2025-11-20,0
PR0003-Grey-S3,PR0003,Top Style 3,Tops,Grey,S3,Downtown Mall Store,39,7,466.9,Coastal Textiles Pvt Ltd,33,2025-11-20,0
PR0004-White-S2,PR0004,Top Style 4,Tops,White,S2,Indiranagar Store,42,12,621.98,Metro Garment Works,24,2025-11-20,0
PR0004-Mustard-S1,PR0004,Top Style 4,Tops,Mustard,S1,Koramangala Flagship,51,13,621.98,Northline Apparel Co.,33,2025-11-20,0
PR0004-Mustard-S3,PR0004,Top Style 4,Tops,Mustard,S3,Downtown Mall Store,55,5,621.98,Coastal Textiles Pvt Ltd,22,2025-11-20,0
PR0004-Olive-S1,PR0004,Top Style 4,Tops,Olive,S1,Koramangala Flagship,45,7,621.98,Northline Apparel Co.,34,2025-11-20,0
PR0004-Olive-S2,PR0004,Top Style 4,Tops,Olive,S2,Indiranagar Store,24,11,621.98,Northline Apparel Co.,25,2025-11-20,0
PR0004-Olive-S3,PR0004,Top Style 4,Tops,Olive,S3,Downtown Mall Store,59,11,621.98,Coastal Textiles Pvt Ltd,27,2025-11-20,0
PR0005-Black-S1,PR0005,Top Style 5,Tops,Black,S1,Koramangala Flagship,13,7,525.72,Everstyle Manufacturing,32,2025-11-20,0
PR0005-Black-S3,PR0005,Top Style 5,Tops,Black,S3,Downtown Mall Store,47,10,525.72,Coastal Textiles Pvt Ltd,12,2025-11-20,0
PR0005-Olive-S1,PR0005,Top Style 5,Tops,Olive,S1,Koramangala Flagship,2,10,525.72,Northline Apparel Co.,26,2025-11-20,1
PR0005-Olive-S2,PR0005,Top Style 5,Tops,Olive,S2,Indiranagar Store,54,7,525.72,Coastal Textiles Pvt Ltd,11,2025-11-20,0
PR0005-Grey-S1,PR0005,Top Style 5,Tops,Grey,S1,Koramangala Flagship,26,6,525.72,Metro Garment Works,17,2025-11-20,0
PR0005-Grey-S2,PR0005,Top Style 5,Tops,Grey,S2,Indiranagar Store,56,8,525.72,Coastal Textiles Pvt Ltd,18,2025-11-20,0
PR0005-Grey-S3,PR0005,Top Style 5,Tops,Grey,S3,Downtown Mall Store,26,6,525.72,Coastal Textiles Pvt Ltd,14,2025-11-20,0
PR0006-Black-S2,PR0006,Top Style 6,Tops,Black,S2,Indiranagar Store,32,13,443.71,Northline Apparel Co.,30,2025-11-20,0
PR0006-Black-S3,PR0006,Top Style 6,Tops,Black,S3,Downtown Mall Store,38,12,443.71,Everstyle Manufacturing,10,2025-11-20,0
PR0006-Red-S2,PR0006,Top Style 6,Tops,Red,S2,Indiranagar Store,4,6,443.71,Metro Garment Works,22,2025-11-20,1
PR0006-Red-S3,PR0006,Top Style 6,Tops,Red,S3,Downtown Mall Store,49,9,443.71,Metro Garment Works,13,2025-11-20,0
PR0006-Navy-S1,PR0006,Top Style 6,Tops,Navy,S1,Koramangala Flagship,53,14,443.71,Northline Apparel Co.,27,2025-11-20,0
PR0006-Navy-S2,PR0006,Top Style 6,Tops,Navy,S2,Indiranagar Store,1,14,443.71,Everstyle Manufacturing,30,2025-11-20,1
PR0007-Black-S1,PR0007,Top Style 7,Tops,Black,S1,Koramangala Flagship,52,8,277.46,Metro Garment Works,12,2025-11-20,0
PR0007-Black-S2,PR0007,Top Style 7,Tops,Black,S2,Indiranagar Store,37,7,277.46,Coastal Textiles Pvt Ltd,33,2025-11-20,0
PR0007-Black-S3,PR0007,Top Style 7,Tops,Black,S3,Downtown Mall Store,15,7,277.46,Everstyle Manufacturing,17,2025-11-20,0
