order_id,date,store_id,store_name,product_id,product_name,category,color,size,quantity,unit_price,discount_pct,discount_code,line_total,return_flag,payment_method,customer_id,sales_channel
500000,2024-01-01,S1,Koramangala Flagship,PR0061,Accessorie Style 1,Accessories,Mustard,S,1,1261.29,10,WELCOME10,1135.16,0,upi,CU00176,in-store
500000,2024-01-01,S1,Koramangala Flagship,PR0014,Top Style 14,Tops,Navy,XL,1,1191.94,10,WELCOME10,1072.75,0,upi,CU00176,in-store
500001,2024-01-01,S1,Koramangala Flagship,PR0046,Outerwear Style 4,Outerwear,Grey,L,1,5879.42,30,CLEAR30,4115.59,0,card,CU00464,in-store
500002,2024-01-01,S1,Koramangala Flagship,PR0024,Bottom Style 6,Bottoms,Olive,S,1,1531.88,30,CLEAR30,1072.32,0,upi,CU00362,in-store
500003,2024-01-01,S1,Koramangala Flagship,PR0044,Outerwear Style 2,Outerwear,Mustard,L,1,2051.9,30,CLEAR30,1436.33,0,upi,CU00151,in-store
500004,2024-01-01,S1,Koramangala Flagship,PR0028,Bottom Style 10,Bottoms,Red,M,1,2071.79,0,,2071.79,0,upi,CU00503,online
500004,2024-01-01,S1,Koramangala Flagship,PR0024,Bottom Style 6,Bottoms,White,M,1,1531.88,0,,1531.88,0,upi,CU00503,online
500005,2024-01-01,S1,Koramangala Flagship,PR0049,Outerwear Style 7,Outerwear,Navy,XS,1,3971.31,15,FEST15,3375.61,0,card,CU00258,in-store
500005,2024-01-01,S1,Koramangala Flagship,PR0050,Outerwear Style 8,Outerwear,Grey,M,1,2712.23,15,FEST15,2305.4,0,card,CU00258,in-store
500005,2024-01-01,S1,Koramangala Flagship,PR0050,Outerwear Style 8,Outerwear,Mustard,XL,1,2712.23,15,FEST15,2305.4,0,card,CU00258,in-store
500006,2024-01-01,S1,Koramangala Flagship,PR0071,Accessorie Style 11,Accessories,Olive,XS,1,1447.41,0,,1447.41,0,upi,CU00160,in-store
500006,2024-01-01,S1,Koramangala Flagship,PR0025,Bottom Style 7,Bottoms,Mustard,L,1,1154.23,0,,1154.23,0,upi,CU00160,in-store
500006,2024-01-01,S1,Koramangala Flagship,PR0013,Top Style 13,Tops,Mustard,XS,2,1476.28,0,,2952.56,0,upi,CU00160,in-store
500007,2024-01-01,S2,Indiranagar Store,PR0008,Top Style 8,Tops,Olive,M,1,858.6,0,,858.6,0,upi,CU00261,online
500008,2024-01-01,S3,Downtown Mall Store,PR0032,Bottom Style 14,Bottoms,Red,XS,1,1989.97,10,WELCOME10,1790.97,0,card,CU00308,in-store
500009,2024-01-01,S3,Downtown Mall Store,PR0043,Outerwear Style 1,Outerwear,Beige,XS,2,5562.11,0,,11124.22,0,card,,in-store
500010,2024-01-01,S3,Downtown Mall Store,PR0029,Bottom Style 11,Bottoms,Beige,XS,1,1664.63,0,,1664.63,0,card,,in-store
500010,2024-01-01,S3,Downtown Mall Store,PR0002,Top Style 2,Tops,Black,M,1,1604.09,0,,1604.09,0,card,,in-store
500010,2024-01-01,S3,Downtown Mall Store,PR0047,Outerwear Style 5,Outerwear,White,M,1,2467.46,0,,2467.46,0,card,,in-store
500011,2024-01-01,S3,Downtown Mall Store,PR0065,Accessorie Style 5,Accessories,Grey,S,1,838.43,15,FEST15,712.67,0,card,,online
500012,2024-01-01,S3,Downtown Mall Store,PR0062,Accessorie Style 2,Accessories,Red,XS,1,605.89,0,,605.89,0,upi,CU00193,online
500012,2024-01-01,S3,Downtown Mall Store,PR0010,Top Style 10,Tops,Beige,M,2,1535.82,0,,3071.64,0,upi,CU00193,online
500012,2024-01-01,S3,Downtown Mall Store,PR0052,Footwear Style 2,Footwear,Navy,L,1,4328.47,0,,-4328.47,1,upi,CU00193,online
500013,2024-01-01,S3,Downtown Mall Store,PR0007,Top Style 7,Tops,Olive,XS,1,623.67,30,CLEAR30,436.57,0,card,CU00398,in-store
500013,2024-01-01,S3,Downtown Mall Store,PR0047,Outerwear Style 5,Outerwear,White,L,1,2467.46,30,CLEAR30,-1727.22,1,card,CU00398,in-store
500014,2024-01-02,S1,Koramangala Flagship,PR0006,Top Style 6,Tops,Beige,XL,1,1267.18,0,,1267.18,0,card,CU00313,online
500015,2024-01-02,S1,Koramangala Flagship,PR0021,Bottom Style 3,Bottoms,Navy,M,1,2390.86,25,WELCOME10,1793.14,0,card,CU00497,in-store
500015,2024-01-02,S1,Koramangala Flagship,PR0030,Bottom Style 12,Bottoms,Navy,S,1,1708.02,25,WELCOME10,1281.01,0,card,CU00497,in-store
500015,2024-01-02,S1,Koramangala Flagship,PR0013,Top Style 13,Tops,Navy,L,1,1476.28,25,WELCOME10,1107.21,0,card,CU00497,in-store
500016,2024-01-02,S1,Koramangala Flagship,PR0059,Footwear Style 9,Footwear,Red,M,1,4021.65,25,FEST15,3016.24,0,upi,CU00416,in-store
500016,2024-01-02,S1,Koramangala Flagship,PR0039,Dresse Style 7,Dresses,Beige,XS,1,1999.96,25,FEST15,1499.97,0,upi,CU00416,in-store
500017,2024-01-02,S1,Koramangala Flagship,PR0068,Accessorie Style 8,Accessories,Mustard,XS,1,544.33,0,,544.33,0,card,CU00088,in-store
500017,2024-01-02,S1,Koramangala Flagship,PR0014,Top Style 14,Tops,White,S,2,1191.94,0,,2383.88,0,card,CU00088,in-store
500017,2024-01-02,S1,Koramangala Flagship,PR0061,Accessorie Style 1,Accessories,White,M,1,1261.29,0,,1261.29,0,card,CU00088,in-store
500018,2024-01-02,S2,Indiranagar Store,PR0053,Footwear Style 3,Footwear,Navy,L,1,2895.81,0,,2895.81,0,card,,in-store
500018,2024-01-02,S2,Indiranagar Store,PR0035,Dresse Style 3,Dresses,White,L,1,3293.44,0,,-3293.44,1,card,,in-store
500018,2024-01-02,S2,Indiranagar Store,PR0042,Dresse Style 10,Dresses,Navy,L,1,2329.48,0,,2329.48,0,card,,in-store
500019,2024-01-02,S3,Downtown Mall Store,PR0034,Dresse Style 2,Dresses,Navy,S,1,2920.8,0,,2920.8,0,card,CU00129,in-store
500020,2024-01-02,S3,Downtown Mall Store,PR0037,Dresse Style 5,Dresses,Navy,XS,1,1405.64,20,SUMMER20,1124.51,0,card,CU00377,online
500020,2024-01-02,S3,Downtown Mall Store,PR0040,Dresse Style 8,Dresses,Mustard,XL,1,2767.09,20,SUMMER20,-2213.67,1,card,CU00377,online
500021,2024-01-02,S3,Downtown Mall Store,PR0061,Accessorie Style 1,Accessories,Grey,L,1,1261.29,25,WELCOME10,945.97,0,card,CU00071,in-store
500021,2024-01-02,S3,Downtown Mall Store,PR0041,Dresse Style 9,Dresses,Grey,XS,1,2294.6,25,WELCOME10,1720.95,0,card,CU00071,in-store
500022,2024-01-02,S3,Downtown Mall Store,PR0005,Top Style 5,Tops,Beige,S,1,1056.36,20,SUMMER20,-845.09,1,card,CU00361,in-store
500022,2024-01-02,S3,Downtown Mall Store,PR0053,Footwear Style 3,Footwear,Grey,L,1,2895.81,20,SUMMER20,2316.65,0,card,CU00361,in-store
500023,2024-01-03,S1,Koramangala Flagship,PR0058,Footwear Style 8,Footwear,White,L,1,3607.69,0,,3607.69,0,card,CU00433,in-store
500023,2024-01-03,S1,Koramangala Flagship,PR0057,Footwear Style 7,Footwear,Beige,L,2,2524.05,0,,-5048.1,1,card,CU00433,in-store
500024,2024-01-03,S1,Koramangala Flagship,PR0008,Top Style 8,Tops,Mustard,M,2,858.6,0,,1717.2,0,cash,CU00040,online
500025,2024-01-03,S1,Koramangala Flagship,PR0013,Top Style 13,Tops,Black,XS,1,1476.28,0,,1476.28,0,card,CU00519,in-store
500025,2024-01-03,S1,Koramangala Flagship,PR0072,Accessorie Style 12,Accessories,White,L,1,703.12,0,,703.12,0,card,CU00519,in-store
500025,2024-01-03,S1,Koramangala Flagship,PR0049,Outerwear Style 7,Outerwear,Grey,S,1,3971.31,0,,3971.31,0,card,CU00519,in-store
500026,2024-01-03,S1,Koramangala Flagship,PR0066,Accessorie Style 6,Accessories,Mustard,XL,1,663.08,0,,663.08,0,card,CU00217,online
500027,2024-01-03,S2,Indiranagar Store,PR0048,Outerwear Style 6,Outerwear,Navy,S,1,4993.77,15,FEST15,4244.7,0,card,CU00171,in-store
500027,2024-01-03,S2,Indiranagar Store,PR0025,Bottom Style 7,Bottoms,Beige,XL,1,1154.23,15,FEST15,981.1,0,card,CU00171,in-store
500027,2024-01-03,S2,Indiranagar Store,PR0001,Top Style 1,Tops,Olive,XL,2,1015.54,15,FEST15,1726.42,0,card,CU00171,in-store
500028,2024-01-03,S2,Indiranagar Store,PR0003,Top Style 3,Tops,Red,M,1,1268.76,25,FEST15,951.57,0,upi,CU00528,in-store
500029,2024-01-03,S2,Indiranagar Store,PR0025,Bottom Style 7,Bottoms,Beige,S,1,1154.23,15,FEST15,981.1,0,cash,CU00188,online
500030,2024-01-03,S2,Indiranagar Store,PR0045,Outerwear Style 3,Outerwear,Navy,XL,2,5206.79,20,SUMMER20,8330.86,0,upi,CU00196,online
500031,2024-01-03,S3,Downtown Mall Store,PR0060,Footwear Style 10,Footwear,Red,S,1,3137.79,20,SUMMER20,2510.23,0,card,CU00337,in-store
500032,2024-01-03,S3,Downtown Mall Store,PR0054,Footwear Style 4,Footwear,Mustard,XL,1,4407.34,25,WELCOME10,3305.5,0,card,CU00503,online
500033,2024-01-03,S3,Downtown Mall Store,PR0036,Dresse Style 4,Dresses,Grey,XS,1,2482.21,10,WELCOME10,2233.99,0,upi,,in-store
500034,2024-01-03,S3,Downtown Mall Store,PR0048,Outerwear Style 6,Outerwear,White,S,1,4993.77,25,FEST15,3745.33,0,card,CU00407,in-store
500034,2024-01-03,S3,Downtown Mall Store,PR0020,Bottom Style 2,Bottoms,Grey,XL,1,1625.72,25,FEST15,1219.29,0,card,CU00407,in-store
500034,2024-01-03,S3,Downtown Mall Store,PR0001,Top Style 1,Tops,Mustard,XL,1,1015.54,25,FEST15,761.66,0,card,CU00407,in-store
500035,2024-01-03,S3,Downtown Mall Store,PR0001,Top Style 1,Tops,Mustard,XL,1,1015.54,30,CLEAR30,710.88,0,cash,CU00231,in-store
500036,2024-01-03,S3,Downtown Mall Store,PR0023,Bottom Style 5,Bottoms,Beige,XL,2,1788.45,15,FEST15,3040.36,0,cash,CU00088,online
500037,2024-01-04,S1,Koramangala Flagship,PR0053,Footwear Style 3,Footwear,Black,XS,1,2895.81,25,SUMMER20,-2171.86,1,cash,CU00545,online
500037,2024-01-04,S1,Koramangala Flagship,PR0061,Accessorie Style 1,Accessories,Red,XL,1,1261.29,25,SUMMER20,945.97,0,cash,CU00545,online
